"Name","BicepPath","BestPracticeResult","FairfaxDeployment","PublicDeployment","Status","QuickStartUri","BicepUri","QuickStartMoved","QuickStartAuthor","BicepAuthor","IsBicepQuickStart"
"000/01-hello-world","docs/examples/000/01-hello-world",,,,,,,,,,
"000/10-string-functions","docs/examples/000/10-string-functions",,,,,,,,,,
"000/11-multiline-strings","docs/examples/000/11-multiline-strings",,,,,,,,,,
"000/20-array-loop","docs/examples/000/20-array-loop",,,,,,,,,,
"000/21-array-lookup","docs/examples/000/21-array-lookup",,,,,,,,,,
"000/22-array-lookup-complex","docs/examples/000/22-array-lookup-complex",,,,,,,,,,
"000/30-json-object-simple","docs/examples/000/30-json-object-simple",,,,,,,,,,
"000/31-json-object-complex","docs/examples/000/31-json-object-complex",,,,,,,,,,
"101/1vm-2nics-2subnets-1vnet","docs/examples/101/1vm-2nics-2subnets-1vnet","PASS","PASS","PASS","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/quickstarts/microsoft.compute/1vm-2nics-2subnets-1vnet","https://github.com/Azure/bicep/tree/main/docs/examples/101/1vm-2nics-2subnets-1vnet","TRUE","lmoxiel","Anthony Martin","False"
"101/aad-domainservices","docs/examples/101/aad-domainservices","PASS","Manual Test","Manual Test","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/101-aad-domainservices","https://github.com/Azure/bicep/tree/main/docs/examples/101/aad-domainservices","FALSE","rahulkhengare","Anthony Martin","False"
"101/aadds-dual-region-replica-sets","docs/examples/101/aadds-dual-region-replica-sets",,,,,,,,,,
"101/aci-linuxcontainer-public-ip","docs/examples/101/aci-linuxcontainer-public-ip","PASS","PASS","PASS","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/quickstarts/microsoft.containerinstance/aci-linuxcontainer-public-ip","https://github.com/Azure/bicep/tree/main/docs/examples/101/aci-linuxcontainer-public-ip","TRUE","seanmck","Mickaël Mottet","False"
"101/aks","docs/examples/101/aks","System.Object[]","System.Object[]","System.Object[]","System.Object[]","https://github.com/Azure/azure-quickstart-templates/tree/master/101-aks","https://github.com/Azure/bicep/tree/main/docs/examples/101/aks","FALSE","System.Object[]","Alex Frankel","System.Object[]"
"101/aks-vmss-systemassigned-identity","docs/examples/101/aks-vmss-systemassigned-identity","PASS","PASS","PASS","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/quickstarts/microsoft.kubernetes/aks-vmss-systemassigned-identity","https://github.com/Azure/bicep/tree/main/docs/examples/101/aks-vmss-systemassigned-identity","TRUE","MertSenel","dewolfs","False"
"101/api-management-create-with-msi","docs/examples/101/api-management-create-with-msi","PASS","PASS","PASS","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/101-api-management-create-with-msi","https://github.com/Azure/bicep/tree/main/docs/examples/101/api-management-create-with-msi","FALSE","solankisamir","Mickaël Mottet","False"
"101/api-management-modular","docs/examples/101/api-management-modular",,,,,,,,,,
"101/app-config","docs/examples/101/app-config",,,,,,,,,,
"101/app-service-regional-vnet-integration","docs/examples/101/app-service-regional-vnet-integration","PASS","Not Supported","PASS","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/quickstarts/microsoft.web/app-service-regional-vnet-integration","https://github.com/Azure/bicep/tree/main/docs/examples/101/app-service-regional-vnet-integration","TRUE","johndowns","Gitte Vermeiren","False"
"101/application-gateway-v2-autoscale-create","docs/examples/101/application-gateway-v2-autoscale-create","PASS","PASS","PASS","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/quickstarts/microsoft.network/application-gateway-v2-autoscale-create","https://github.com/Azure/bicep/tree/main/docs/examples/101/application-gateway-v2-autoscale-create","TRUE","vmehmeri","Mickaël Mottet","False"
"101/azure-automation-account","docs/examples/101/azure-automation-account",,,,,,,,,,
"101/azure-bastion","docs/examples/101/azure-bastion","PASS","FAIL","PASS","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/quickstarts/microsoft.network/azure-bastion","https://github.com/Azure/bicep/tree/main/docs/examples/101/azure-bastion","TRUE","robotechredmond","Mickaël Mottet","False"
"101/azure-search-create","docs/examples/101/azure-search-create","PASS","PASS","PASS","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/quickstarts/microsoft.search/azure-search-create","https://github.com/Azure/bicep/tree/main/docs/examples/101/azure-search-create","TRUE","HeidiSteen","Mickaël Mottet","False"
"101/azure-sentinel","docs/examples/101/azure-sentinel","PASS","PASS","PASS","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/quickstarts/microsoft.operationsmanagement/azure-sentinel","https://github.com/Azure/bicep/tree/main/docs/examples/101/azure-sentinel","TRUE","yelevin","Mickaël Mottet","False"
"101/azure-spring-cloud","docs/examples/101/azure-spring-cloud","PASS","Not Supported","PASS","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/quickstarts/microsoft.appplatform/azure-spring-cloud","https://github.com/Azure/bicep/tree/main/docs/examples/101/azure-spring-cloud","TRUE","bmitchell287","Mickaël Mottet","False"
"101/azurefirewall-create-with-zones","docs/examples/101/azurefirewall-create-with-zones","PASS","Not Supported","PASS","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/quickstarts/microsoft.network/azurefirewall-create-with-zones","https://github.com/Azure/bicep/tree/main/docs/examples/101/azurefirewall-create-with-zones","TRUE","madhusudhanravi","Mickaël Mottet","False"
"101/basic-batch-account","docs/examples/101/basic-batch-account",,,,,,,,,,
"101/basic-publicip","docs/examples/101/basic-publicip",,,,,,,,,,
"101/cognitive-services","docs/examples/101/cognitive-services",,,,,,,,,,
"101/container-registry","docs/examples/101/container-registry","PASS","PASS","PASS","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/quickstarts/microsoft.containerregistry/container-registry","https://github.com/Azure/bicep/tree/main/docs/examples/101/container-registry","TRUE","matthieuklotz","dewolfs","False"
"101/cosmosdb-free","docs/examples/101/cosmosdb-free","PASS","PASS","PASS","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/quickstarts/microsoft.documentdb/cosmosdb-free","https://github.com/Azure/bicep/tree/main/docs/examples/101/cosmosdb-free","TRUE","markjbrown","JFolberth","False"
"101/cosmosdb-private-endpoint","docs/examples/101/cosmosdb-private-endpoint","PASS","PASS","PASS","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/quickstarts/microsoft.documentdb/cosmosdb-private-endpoint","https://github.com/Azure/bicep/tree/main/docs/examples/101/cosmosdb-private-endpoint","TRUE","ThomasWeiss","Mickaël Mottet","False"
"101/cosmosdb-webapp","docs/examples/101/cosmosdb-webapp","FAIL","PASS","FAIL","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/quickstarts/microsoft.documentdb/cosmosdb-webapp","https://github.com/Azure/bicep/tree/main/docs/examples/101/cosmosdb-webapp","TRUE","markjbrown","Alex Frankel","True"
"101/create-managedidentity-rbac","docs/examples/101/create-managedidentity-rbac",,,,,,,,,,
"101/create-rg-lock-role-assignment","docs/examples/101/create-rg-lock-role-assignment","PASS","Manual Test","Manual Test","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/subscription-deployments/create-rg-lock-role-assignment","https://github.com/Azure/bicep/tree/main/docs/examples/101/create-rg-lock-role-assignment","TRUE","bmoore-msft","Alex Frankel","False"
"101/custom-role-definition-assignment","docs/examples/101/custom-role-definition-assignment",,,,,,,,,,
"101/cyclecloud","docs/examples/101/cyclecloud",,,,,,,,,,
"101/data-factory-v2","docs/examples/101/data-factory-v2",,,,,,,,,,
"101/data-factory-v2-blob-to-blob-copy","docs/examples/101/data-factory-v2-blob-to-blob-copy","PASS","Not Supported","PASS","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/quickstarts/microsoft.datafactory/data-factory-v2-blob-to-blob-copy","https://github.com/Azure/bicep/tree/main/docs/examples/101/data-factory-v2-blob-to-blob-copy","TRUE","djpmsft","JFolberth","False"
